time,place,mag,depth,lon,lat,type,alert,tsunami,status,id,hour,month,day_of_week,tsl,hazard_label,target,zone,norm_mag,norm_depth,risk_score
2016-04-26 23:54:26.110,"143 km NNW of Neiafu, Tonga",4.6,103.21,-174.262,-17.3859,earthquake,,0,reviewed,",us10005bt6,",23,4,1,1.246522222222222,MEDIUM,1,1,0.45999999999999996,0.8525571428571429,5.857671428571428
2023-10-19 05:23:17.850,"65 km WSW of Jiquilillo, Nicaragua",4.6,57.847,-87.9901,12.473,earthquake,,0,reviewed,",us6000lgie,",5,10,3,1.5226202777777778,MEDIUM,1,0,0.45999999999999996,0.9173614285714285,6.052084285714285
2024-05-28 13:54:07.332,"16 km WSW of Madang, Papua New Guinea",4.8,89.829,145.6532,-5.2963,earthquake,,0,reviewed,",us6000n1h9,",13,5,1,0.005201111111111111,MEDIUM,1,0,0.48,0.8716728571428571,6.015018571428571
2016-10-14 17:47:32.850,"Kermadec Islands, New Zealand",4.7,10.0,-177.6696,-29.9533,earthquake,,0,reviewed,",us20007flk,",17,10,4,1.8639777777777777,MEDIUM,1,1,0.47000000000000003,0.9857142857142858,6.307142857142857
2019-11-21 17:36:57.013,"130 km SSW of Baturaja, Indonesia",4.8,69.84,103.6705,-5.2035,earthquake,,0,reviewed,",us70006b5m,",17,11,3,5.740495833333333,MEDIUM,1,0,0.48,0.9002285714285714,6.100685714285713
2022-08-28 21:04:47.397,"72 km NW of Finschhafen, Papua New Guinea",4.8,73.835,147.4351,-6.0464,earthquake,,0,reviewed,",us7000i36q,",21,8,6,2.2792508333333332,MEDIUM,1,0,0.48,0.8945214285714286,6.083564285714286
2016-05-09 14:19:38.160,Fiji region,4.7,600.09,-178.8659,-21.0717,earthquake,,0,reviewed,",us10005g1r,",14,5,0,4.462069444444444,MEDIUM,1,1,0.47000000000000003,0.14272857142857143,3.7781857142857147
2019-01-07 16:35:26.260,"12 km SSW of Kamogawa, Japan",4.6,46.82,140.0285,35.0039,earthquake,,0,reviewed,",us2000j14f,",16,1,0,1.5215472222222222,MEDIUM,1,0,0.45999999999999996,0.9331142857142857,6.099342857142856
2021-08-02 08:49:30.097,"33 km N of Al Hoceïma, Morocco",4.5,10.0,-3.9634,35.553,earthquake,,0,reviewed,",us6000f3vb,",8,8,0,3.4473475,MEDIUM,1,0,0.45,0.9857142857142858,6.207142857142856
2022-11-14 01:06:05.037,"141 km ENE of Tobelo, Indonesia",4.6,10.019,129.1942,2.2023,earthquake,,0,reviewed,",us7000iqns,",1,11,0,2.623324722222222,MEDIUM,1,0,0.45999999999999996,0.9856871428571429,6.257061428571427
2023-04-27 22:39:01.912,"41 km SW of Mashhad, Iran",4.9,10.0,59.3364,35.9918,earthquake,,0,reviewed,",us7000jwf5,",22,4,3,0.5021111111111111,MEDIUM,1,0,0.49000000000000005,0.9857142857142858,6.407142857142857
2023-12-02 21:24:19.675,"48 km ENE of Hinatuan, Philippines",4.5,42.548,126.7643,8.4672,earthquake,,0,reviewed,",us7000lh0q,",21,12,5,0.05518777777777777,MEDIUM,1,0,0.45,0.9392171428571429,6.067651428571428
2018-05-25 17:41:54.090,"130 km SE of Port Blair, India",4.7,140.2,93.6517,10.8902,earthquake,,0,reviewed,",us1000ec8d,",17,5,4,0.5565222222222223,MEDIUM,1,0,0.47000000000000003,0.7997142857142857,5.749142857142857
2018-06-01 13:31:15.600,"5 km NE of Jabonga, Philippines",4.5,40.56,125.5524,9.375,earthquake,,0,reviewed,",us1000egk7,",13,6,4,2.7243472222222223,MEDIUM,1,0,0.45,0.9420571428571428,6.076171428571429
2019-09-05 11:52:06.491,northern Mid-Atlantic Ridge,5.5,10.0,-31.916,52.5864,earthquake,green,0,reviewed,",us70005c9r,",11,9,3,0.6027936111111111,MEDIUM,1,0,0.55,0.9857142857142858,6.707142857142857
2017-11-17 13:40:41.310,"28 km SSE of Guayaquil, Ecuador",5.4,78.05,-79.8202,-2.4428,earthquake,,0,reviewed,",us2000bqc4,",13,11,4,0.21723888888888887,MEDIUM,1,0,0.54,0.8885,6.365499999999999
2022-07-24 18:11:42.512,"40 km W of Kimbe, Papua New Guinea",4.6,134.717,149.7718,-5.5525,earthquake,,0,reviewed,",us7000ht5l,",18,7,6,3.049046944444444,MEDIUM,1,0,0.45999999999999996,0.8075471428571428,5.7226414285714275
2024-10-07 09:36:58.446,"23 km WSW of Isangel, Vanuatu",5.4,144.989,169.0635,-19.6019,earthquake,green,0,reviewed,",usauto6000nx1e,us6000nx1e,",9,10,0,3.303343611111111,MEDIUM,1,0,0.54,0.7928728571428572,6.078618571428571
2023-02-26 23:33:19.943,"Pagan region, Northern Mariana Islands",4.6,227.028,145.5217,18.7579,earthquake,,0,reviewed,",us6000jrt6,",23,2,6,1.8516752777777779,MEDIUM,1,0,0.45999999999999996,0.6756742857142857,5.327022857142857
2022-01-13 18:38:28.765,"147 km NNE of Lospalos, Timor Leste",4.6,10.0,127.545,-7.3084,earthquake,,0,reviewed,",us7000gbq6,",18,1,3,0.31447166666666665,MEDIUM,1,0,0.45999999999999996,0.9857142857142858,6.257142857142856
2024-08-16 03:00:51.499,"225 km SSW of Kawalu, Indonesia",4.9,10.0,107.7318,-9.3647,earthquake,,0,reviewed,",us7000n7c7,",3,8,4,0.8210713888888889,MEDIUM,1,0,0.49000000000000005,0.9857142857142858,6.407142857142857
2021-01-15 22:48:55.129,"7 km SSE of Hukay, Philippines",4.6,158.64,120.7376,13.7845,earthquake,,0,reviewed,",us7000d0ib,",22,1,4,1.2663163888888889,MEDIUM,1,0,0.45999999999999996,0.7733714285714286,5.620114285714285
2024-08-13 19:16:55.730,"40 km E of Ambunti, Papua New Guinea",4.8,84.186,143.18,-4.2563,earthquake,,0,reviewed,",us6000njwl,",19,8,1,1.6603591666666666,MEDIUM,1,0,0.48,0.8797342857142857,6.039202857142857
2024-04-27 05:07:08.359,"84 km W of Gorontalo, Indonesia",4.6,111.821,122.3026,0.5368,earthquake,,0,reviewed,",us6000mu7q,",5,4,5,0.40254833333333334,MEDIUM,1,0,0.45999999999999996,0.8402557142857143,5.820767142857143
2024-06-01 09:29:15.324,"123 km E of Labasa, Fiji",4.9,10.0,-179.4816,-16.3189,earthquake,,0,reviewed,",usauto7000mpfv,us7000mpfv,",9,6,5,0.5768558333333333,MEDIUM,1,1,0.49000000000000005,0.9857142857142858,6.407142857142857
2019-02-02 09:03:09.840,"175 km WSW of Sungai Penuh, Indonesia",5.2,10.0,100.0068,-2.8248,earthquake,green,0,reviewed,",us2000jcbm,",9,2,5,2.018777777777778,MEDIUM,1,0,0.52,0.9857142857142858,6.557142857142857
2015-09-17 22:39:20.370,"75 km SW of Ovalle, Chile",5.2,23.23,-71.8056,-31.031,earthquake,green,0,reviewed,",us20003l02,gcmt20150917223920,iscgem607744042,",22,9,3,0.5212666666666667,MEDIUM,1,0,0.52,0.9668142857142857,6.500442857142858
2016-12-11 13:45:18.580,"286 km E of Iwaki, Japan",4.8,10.0,144.0493,36.5953,earthquake,,0,reviewed,",us20007zz0,",13,12,6,0.9760055555555556,MEDIUM,1,0,0.48,0.9857142857142858,6.357142857142857
2019-01-08 18:53:36.460,"90 km NW of Neiafu, Tonga",4.9,10.0,-174.6083,-18.087,earthquake,,0,reviewed,",us2000j8cj,",18,1,1,1.4342555555555554,MEDIUM,1,1,0.49000000000000005,0.9857142857142858,6.407142857142857
2017-04-27 19:40:24.580,western Indian-Antarctic Ridge,4.7,9.44,120.0591,-50.1794,earthquake,,0,reviewed,",us10008ldu,",19,4,3,0.8942138888888889,MEDIUM,1,0,0.47000000000000003,0.9865142857142857,6.309542857142857
2020-06-25 05:20:59.627,"27 km NW of Stanley, Idaho",4.6,7.54,-115.1814,44.3989,earthquake,green,0,reviewed,",us7000aanf,mb80442269,",5,6,3,6.019763611111111,MEDIUM,1,0,0.45999999999999996,0.9892285714285715,6.267685714285714
2022-11-28 02:47:42.335,Fiji region,4.5,537.459,-178.4798,-20.8759,earthquake,,0,reviewed,",us6000j6bg,",2,11,0,3.1146719444444444,MEDIUM,1,1,0.45,0.23220142857142867,3.946604285714286
2015-01-25 23:55:50.720,"132 km SSE of Isangel, Vanuatu",5.2,142.19,169.8943,-20.592,earthquake,,0,reviewed,",usc000tj11,",23,1,6,1.5969111111111112,MEDIUM,1,0,0.52,0.7968714285714286,5.990614285714285
